cell_id,label_candidate,label_type,evidence_id,distance_to_evidence_m,confidence,label_basis
GRID-00001,unlabeled,untested_or_unreported,,3508.66,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00002,unlabeled,untested_or_unreported,,3487.36,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00003,unlabeled,untested_or_unreported,,3466.19,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00004,unlabeled,untested_or_unreported,,3445.15,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00005,unlabeled,untested_or_unreported,,3424.24,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00006,unlabeled,untested_or_unreported,,3403.47,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00007,unlabeled,untested_or_unreported,,3382.84,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00008,unlabeled,untested_or_unreported,,3362.35,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00009,unlabeled,untested_or_unreported,,3342.0,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00010,unlabeled,untested_or_unreported,,3321.8,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00011,unlabeled,untested_or_unreported,,3301.74,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00012,unlabeled,untested_or_unreported,,3281.84,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00013,unlabeled,untested_or_unreported,,3262.09,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00014,unlabeled,untested_or_unreported,,3242.51,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00015,unlabeled,untested_or_unreported,,3223.08,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00016,unlabeled,untested_or_unreported,,3203.81,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00017,unlabeled,untested_or_unreported,,3184.71,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00018,unlabeled,untested_or_unreported,,3165.78,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00019,unlabeled,untested_or_unreported,,3147.02,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00020,unlabeled,untested_or_unreported,,3128.44,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00021,unlabeled,untested_or_unreported,,3110.03,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00022,unlabeled,untested_or_unreported,,3091.81,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00023,unlabeled,untested_or_unreported,,3073.77,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00024,unlabeled,untested_or_unreported,,3055.92,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00025,unlabeled,untested_or_unreported,,3038.26,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00026,unlabeled,untested_or_unreported,,3020.79,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00027,unlabeled,untested_or_unreported,,3003.53,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00028,unlabeled,untested_or_unreported,,2986.46,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00029,unlabeled,untested_or_unreported,,2969.6,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
