cell_id,longitude,latitude,anomaly_score,anomaly_rank,robust_distance_score,robust_distance_rank,positive_anchor_similarity,positive_anchor_rank,exploration_priority_score,feature_quality,config_b_sensitivity_similarity,config_b_sensitivity_rank
GRID-00001,80.203798,21.868537,0.1426,13012,0.0119,8901,0.4847,20735,0.4872,partial,0.4919,21850
GRID-00002,80.204088,21.868539,0.4705,1147,0.7299,349,0.2045,26766,0.6602,valid,0.1855,27000
GRID-00003,80.204379,21.86854,0.163,10942,0.0115,9218,0.4992,20085,0.5161,valid,0.5242,20271
GRID-00004,80.204669,21.868541,0.2349,6627,0.0139,7605,0.3569,24728,0.5315,valid,0.3784,25088
GRID-00005,80.204959,21.868543,0.3085,3939,0.0173,6254,0.3166,25423,0.5717,valid,0.3187,25941
GRID-00006,80.20525,21.868544,0.2032,8182,0.0122,8697,0.5103,19579,0.5616,valid,0.5243,20263
GRID-00007,80.20554,21.868546,0.4255,1580,0.0192,5794,0.346,24938,0.6115,valid,0.3698,25232
GRID-00008,80.20583,21.868547,0.2657,5358,0.0106,10177,0.271,26058,0.4999,valid,0.3004,26143
GRID-00009,80.206121,21.868548,0.3374,3147,0.0145,7298,0.3392,25070,0.573,valid,0.3703,25221
GRID-00010,80.206411,21.86855,0.3384,3119,0.0149,7122,0.3507,24852,0.578,valid,0.3815,25024
GRID-00011,80.206701,21.868551,0.3966,2002,0.0183,6017,0.32,25368,0.5985,valid,0.3502,25525
GRID-00012,80.206992,21.868553,0.1942,8709,0.0097,11511,0.4006,23663,0.4723,valid,0.4418,23666
GRID-00013,80.207282,21.868554,0.2721,5129,0.0109,9845,0.3175,25402,0.5145,valid,0.3545,25462
GRID-00014,80.207572,21.868555,0.135,13934,0.0083,14331,0.5205,19097,0.4305,valid,0.5262,20156
GRID-00015,80.207863,21.868557,0.1509,12115,0.0083,14131,0.5645,16677,0.4839,valid,0.563,17865
GRID-00016,80.208153,21.868558,0.1344,14019,0.0119,8910,0.5018,19965,0.4842,valid,0.5088,21038
GRID-00017,80.208443,21.86856,0.1483,12377,0.009,12695,0.4506,22047,0.4334,valid,0.4684,22790
GRID-00018,80.208734,21.868561,0.1396,13378,0.0083,14347,0.4814,20863,0.4157,valid,0.5084,21059
GRID-00019,80.209024,21.868562,0.1115,17367,0.006,20800,0.4915,20433,0.2953,valid,0.5148,20744
GRID-00020,80.209314,21.868564,0.0897,21159,0.0061,20751,0.4651,21505,0.2374,valid,0.4884,21998
GRID-00021,80.209605,21.868565,0.1186,16259,0.0062,20415,0.4776,21016,0.3063,valid,0.4902,21934
GRID-00022,80.209895,21.868567,0.1008,19225,0.0074,16756,0.4435,22313,0.299,valid,0.4612,23041
GRID-00023,80.210185,21.868568,0.1254,15254,0.0092,12378,0.4286,22800,0.3936,valid,0.4697,22745
GRID-00024,80.210476,21.868569,0.1331,14196,0.0072,17197,0.4647,21515,0.3638,valid,0.4979,21571
GRID-00025,80.210766,21.868571,0.1336,14131,0.0073,16979,0.4748,21134,0.3718,valid,0.5066,21148
GRID-00026,80.211057,21.868572,0.2012,8289,0.0085,13770,0.3582,24699,0.4378,valid,0.4006,24660
GRID-00027,80.211347,21.868574,0.2418,6336,0.0095,11768,0.3337,25161,0.4798,valid,0.3779,25096
GRID-00028,80.211637,21.868575,0.0885,21357,0.0071,17632,0.5142,19401,0.2979,valid,0.551,18651
GRID-00029,80.211928,21.868576,0.0732,23913,0.005,23998,0.5381,18128,0.2059,valid,0.5751,16962
GRID-00030,80.212218,21.868578,0.0739,23813,0.0047,24606,0.5224,19000,0.1893,valid,0.5648,17733
GRID-00031,80.212508,21.868579,0.1663,10664,0.0089,12923,0.4532,21948,0.4525,valid,0.5035,21319
GRID-00032,80.212799,21.868581,0.6382,301,0.0472,3364,0.0792,27330,0.6273,valid,0.0931,27334
GRID-00033,80.213089,21.868582,0.6763,210,0.0513,3282,0.067,27364,0.629,valid,0.0784,27368
GRID-00034,80.213379,21.868583,0.485,1040,0.0272,4526,0.3476,24910,0.6335,valid,0.3859,24959
GRID-00035,80.21367,21.868585,0.1168,16555,0.0069,18276,0.5918,14944,0.4015,valid,0.5812,16481
GRID-00036,80.21396,21.868586,0.067,24761,0.0061,20703,0.5846,15404,0.2681,valid,0.6197,13313
GRID-00037,80.21425,21.868587,0.0828,22373,0.0145,7301,0.5807,15659,0.4549,valid,0.6166,13581
GRID-00038,80.214541,21.868589,0.156,11575,0.01,10929,0.4183,23143,0.4511,valid,0.4582,23144
GRID-00039,80.214831,21.86859,0.1368,13688,0.0083,14325,0.4002,23674,0.3785,valid,0.4392,23740
GRID-00040,80.215121,21.868592,0.0878,21494,0.0144,7351,0.496,20230,0.4099,valid,0.5377,19504
GRID-00041,80.215412,21.868593,0.1185,16284,0.0247,4833,0.4685,21374,0.4891,valid,0.5154,20716
GRID-00042,80.215702,21.868594,0.0931,20541,0.0245,4864,0.5923,14896,0.5154,valid,0.6108,14082
GRID-00043,80.215992,21.868596,0.1101,17627,0.0277,4472,0.5807,15660,0.546,valid,0.6187,13390
GRID-00044,80.216283,21.868597,0.2547,5765,0.0182,6028,0.3945,23832,0.5716,valid,0.4486,23451
GRID-00045,80.216573,21.868599,0.2056,8038,0.0105,10370,0.4041,23547,0.4955,valid,0.4459,23537
GRID-00046,80.216863,21.8686,0.2222,7176,0.0096,11682,0.3317,25196,0.4703,valid,0.3791,25069
GRID-00047,80.217154,21.868601,0.1997,8367,0.0102,10749,0.3329,25178,0.4674,valid,0.3813,25032
GRID-00048,80.217444,21.868603,0.0877,21504,0.0102,10727,0.5116,19516,0.3778,valid,0.5268,20127
GRID-00049,80.217734,21.868604,0.318,3676,0.0192,5798,0.232,26492,0.5675,valid,0.2694,26450
GRID-00050,80.218025,21.868605,0.0417,27049,0.0059,21353,0.4743,21159,0.1635,valid,0.508,21086
GRID-00051,80.218315,21.868607,0.042,27029,0.0071,17600,0.5331,18392,0.2422,valid,0.5705,17306
GRID-00052,80.218605,21.868608,0.0666,24806,0.0126,8367,0.5231,18950,0.3732,valid,0.5449,19069
GRID-00053,80.218896,21.86861,0.0615,25462,0.0107,10065,0.5147,19376,0.3398,valid,0.5345,19684
GRID-00054,80.219186,21.868611,0.0856,21889,0.0061,20577,0.4888,20558,0.2421,valid,0.5095,20997
GRID-00055,80.219477,21.868612,0.0862,21786,0.0055,22387,0.45,22068,0.2035,valid,0.4746,22552
GRID-00056,80.219767,21.868614,0.05,26553,0.0073,16888,0.5034,19885,0.2385,valid,0.527,20116
GRID-00057,80.220057,21.868615,0.1083,17909,0.0068,18513,0.3923,23916,0.2744,valid,0.4244,24136
GRID-00058,80.220348,21.868616,0.07,24366,0.0065,19495,0.4918,20426,0.227,valid,0.5154,20720
GRID-00059,80.220638,21.868618,0.0313,27462,0.0043,25379,0.581,15637,0.1766,valid,0.5981,15097
GRID-00060,80.220928,21.868619,0.1627,10959,0.007,17739,0.6453,10806,0.525,valid,0.6354,11896
GRID-00061,80.221219,21.868621,0.0795,22932,0.0058,21544,0.675,8554,0.3623,valid,0.6688,9054
GRID-00062,80.221509,21.868622,0.2062,8014,0.0106,10149,0.6643,9334,0.6694,valid,0.6701,8946
GRID-00063,80.221799,21.868623,0.2381,6499,0.0147,7233,0.5622,16818,0.6327,valid,0.62,13285
GRID-00064,80.22209,21.868625,0.6138,377,0.0431,3485,0.0773,27337,0.6249,valid,0.0934,27332
GRID-00065,80.22238,21.868626,0.6071,402,0.042,3520,0.0858,27317,0.6244,valid,0.103,27304
GRID-00066,80.22267,21.868627,0.1089,17800,0.0092,12364,0.5331,18391,0.4161,valid,0.586,16071
GRID-00067,80.222961,21.868629,0.1158,16702,0.0106,10246,0.7151,5706,0.6074,valid,0.7123,5767
GRID-00068,80.223251,21.86863,0.1004,19286,0.0076,15974,0.6882,7549,0.4852,valid,0.6749,8577
GRID-00069,80.223541,21.868631,0.2371,6540,0.0147,7215,0.6211,12794,0.6808,valid,0.6418,11338
GRID-00070,80.223832,21.868633,0.3917,2084,0.0186,5927,0.3031,25615,0.5957,valid,0.3555,25451
GRID-00071,80.224122,21.868634,0.1138,17008,0.0069,18105,0.4758,21094,0.3241,valid,0.516,20686
GRID-00072,80.224412,21.868636,0.1102,17601,0.007,17769,0.4856,20701,0.3258,valid,0.528,20046
GRID-00073,80.224703,21.868637,0.0842,22138,0.0082,14459,0.5165,19281,0.3281,valid,0.5539,18466
GRID-00074,80.224993,21.868638,0.1304,14566,0.0093,12190,0.4566,21816,0.4159,valid,0.4973,21608
GRID-00075,80.225283,21.86864,0.0922,20708,0.0086,13575,0.5261,18784,0.3619,valid,0.5655,17679
