cell_id,x,y,longitude,latitude,B02,B03,B04,B08,B11,B12,NDVI,NDWI,red_nir_ratio,swir_nir_ratio,elevation,slope,aspect,hillshade,distance_to_moil_balaghat_m,valid_feature_fraction,feature_quality
GRID-00001,417737.89,2418488.9,80.203798,21.868537,600.0,894.0,894.0,2765.0,2258.0,1578.0,0.51134192943573,-0.51134192943573,0.32332733273506165,0.7580470442771912,,,,,3508.66,0.7143,partial
GRID-00002,417767.89,2418488.9,80.204088,21.868539,344.0,606.0,470.0,2452.0,1881.0,1299.0,0.6783024668693542,-0.6036625504493713,0.19168025255203247,0.7018759846687317,307.00341796875,89.66643524169922,270.00836181640625,128.566162109375,3487.36,1.0,valid
GRID-00003,417797.89,2418488.9,80.204379,21.86854,580.0,910.0,808.0,2551.0,1955.0,1315.0,0.518904447555542,-0.474140465259552,0.3167385160923004,0.7212857604026794,307.010498046875,1.6808112859725952,359.3365783691406,184.0174560546875,3466.19,1.0,valid
GRID-00004,417827.89,2418488.9,80.204669,21.868541,821.0,1140.0,1144.0,3400.0,2641.0,1984.0,0.4964788854122162,-0.4977973997592926,0.3364705741405487,0.722352921962738,306.870361328125,1.13277268409729,23.70001220703125,181.5718536376953,3445.15,1.0,valid
GRID-00005,417857.89,2418488.9,80.204959,21.868543,680.0,1074.0,1090.0,3848.0,2891.0,2277.0,0.5585257411003113,-0.5635920166969299,0.28326404094696045,0.7318087816238403,306.6026611328125,0.3899077773094177,103.9874267578125,179.25640869140625,3424.24,1.0,valid
GRID-00006,417887.89,2418488.9,80.20525,21.868544,472.0,756.0,789.0,1906.0,2130.0,1679.0,0.41447123885154724,-0.43200597167015076,0.413955956697464,1.208289623260498,306.6087646484375,0.9407234191894531,175.45713806152344,178.03541564941406,3403.47,1.0,valid
GRID-00007,417917.89,2418488.9,80.20554,21.868546,579.0,798.0,1000.0,1502.0,2166.0,1707.0,0.20063945651054382,-0.306086927652359,0.6657789945602417,1.5912116765975952,306.52618408203125,0.963231086730957,161.0531005859375,177.56356811523438,3382.84,1.0,valid
GRID-00008,417947.89,2418488.9,80.20583,21.868547,937.0,1324.0,1658.0,2706.0,3379.0,2654.0,0.24014662206172943,-0.3429279923439026,0.6127125024795532,1.1474500894546509,306.2345275878906,0.8058087229728699,135.70619201660156,177.75875854492188,3362.35,1.0,valid
GRID-00009,417977.89,2418488.9,80.206121,21.868548,653.0,955.0,1210.0,1789.0,2467.0,1941.0,0.1930643767118454,-0.3039358854293823,0.6763554811477661,1.3214085102081299,305.94110107421875,0.752157986164093,117.40392303466797,178.04043579101562,3342.0,1.0,valid
GRID-00010,418007.89,2418488.9,80.206411,21.86855,606.0,891.0,1150.0,1710.0,2220.0,1800.0,0.1958041936159134,-0.3148788809776306,0.6725146174430847,1.2923976182937622,305.6328125,0.9984827041625977,96.45116424560547,177.8274688720703,3321.8,1.0,valid
GRID-00011,418037.89,2418488.9,80.206701,21.868551,608.0,886.0,1144.0,1598.0,2223.0,1765.0,0.16557255387306213,-0.2866344153881073,0.715894877910614,1.426783561706543,305.04486083984375,0.285833477973938,91.25019073486328,179.6602020263672,3301.74,1.0,valid
GRID-00012,418067.89,2418488.9,80.206992,21.868553,754.0,1120.0,1344.0,2331.0,2921.0,2326.0,0.2685714364051819,-0.35091277956962585,0.5765765905380249,1.1960532665252686,305.5431823730469,0.5020762085914612,239.62481689453125,180.70425415039062,3281.84,1.0,valid
