period,company,production_tonnes,previous_year_tonnes,yoy_growth_pct,derived_from
FY2016-17,MOIL Limited,1005000.0,1032000.0,-2.62,data/real/moil/production/production_reported.csv
FY2017-18,MOIL Limited,1201000.0,1005000.0,19.50,data/real/moil/production/production_reported.csv
FY2018-19,MOIL Limited,1301000.0,1201000.0,8.33,data/real/moil/production/production_reported.csv
FY2019-20,MOIL Limited,1280000.0,1301000.0,-1.61,data/real/moil/production/production_reported.csv
FY2020-21,MOIL Limited,1143000.0,1280000.0,-10.70,data/real/moil/production/production_reported.csv
FY2021-22,MOIL Limited,1231000.0,1143000.0,7.70,data/real/moil/production/production_reported.csv
FY2022-23,MOIL Limited,1302000.0,1231000.0,5.77,data/real/moil/production/production_reported.csv
FY2023-24,MOIL Limited,1756000.0,1302000.0,34.87,data/real/moil/production/production_reported.csv
FY2024-25,MOIL Limited,1802000.0,1756000.0,2.62,data/real/moil/production/production_reported.csv
FY2025-26,MOIL Limited,1907000.0,1802000.0,5.83,data/real/moil/production/production_reported.csv
