hole_id,latitude,longitude,collar_elevation_m,total_depth_m,depth_from_m,depth_to_m,thickness_m,mn_grade_pct,fe_grade_pct,sio2_pct,lithology_code,sample_date,structural_domain,is_ore_bearing,source
DH-0001,21.857899,80.169502,399.4,67.5,44.4,51.5,7.1,4.46,5.73,49.82,QUARTZITE,2023-08-30,Syncline_Axis_West,0,synthetic
DH-0002,21.863339,80.174142,376.7,149.1,51.6,59.0,7.4,37.81,9.55,19.61,MANSAR_SCHIST,2025-12-08,Syncline_Axis_West,1,synthetic
DH-0003,21.871086,80.180133,412.6,53.6,42.6,48.0,5.4,1.22,5.35,69.62,TIRODI_GNEISS,2025-10-13,Syncline_Axis_West,0,synthetic
DH-0004,21.862322,80.172496,403.2,106.5,10.1,17.1,7.0,1.93,6.9,52.13,CALC_GRANULITE,2023-12-08,Syncline_Axis_West,0,synthetic
DH-0005,21.856206,80.168048,420.1,94.6,66.6,73.9,7.3,2.15,2.94,62.2,CALC_GRANULITE,2023-08-25,Syncline_Axis_West,0,synthetic
DH-0006,21.861761,80.178264,411.8,75.8,5.2,12.2,7.0,0.33,5.78,53.43,TIRODI_GNEISS,2023-01-26,Syncline_Axis_West,0,synthetic
DH-0007,21.864977,80.168372,404.4,78.0,27.9,35.3,7.4,0.64,6.54,69.11,CALC_GRANULITE,2024-01-02,Syncline_Axis_West,0,synthetic
DH-0008,21.863403,80.165448,356.9,170.7,91.1,98.5,7.4,4.9,4.59,51.87,QUARTZITE,2025-05-08,Syncline_Axis_West,0,synthetic
DH-0009,21.860603,80.179283,395.6,75.3,30.1,36.1,6.0,4.26,3.04,65.89,QUARTZITE,2024-07-09,Syncline_Axis_West,0,synthetic
DH-0010,21.862352,80.174079,357.0,156.5,25.7,35.9,10.2,17.3,8.1,20.16,GONDITE,2023-04-18,Syncline_Axis_West,0,synthetic
DH-0011,21.865105,80.174985,392.0,69.2,58.2,65.9,7.7,1.56,6.61,52.06,TIRODI_GNEISS,2023-05-22,Syncline_Axis_West,0,synthetic
DH-0012,21.857129,80.169713,421.6,163.4,119.8,123.0,3.2,1.83,5.96,55.05,CALC_GRANULITE,2023-06-26,Syncline_Axis_West,0,synthetic
DH-0013,21.864203,80.167833,394.6,119.7,43.6,46.6,3.0,4.47,6.07,55.27,QUARTZITE,2024-09-14,Syncline_Axis_West,0,synthetic
DH-0014,21.857984,80.176082,382.0,144.8,65.2,70.3,5.1,2.9,6.05,54.33,QUARTZITE,2025-10-07,Syncline_Axis_West,0,synthetic
DH-0015,21.860074,80.178726,400.8,179.7,125.6,130.4,4.8,3.74,4.37,58.32,QUARTZITE,2024-05-17,Syncline_Axis_West,0,synthetic
DH-0016,21.862932,80.176065,367.8,65.3,11.0,19.7,8.7,26.05,8.88,30.48,GONDITE,2023-01-20,Syncline_Axis_West,1,synthetic
DH-0017,21.86207,80.177523,386.9,173.4,125.2,128.8,3.6,7.46,3.69,59.67,QUARTZITE,2024-09-21,Syncline_Axis_West,0,synthetic
DH-0018,21.862414,80.178133,388.6,59.0,48.3,52.2,3.9,1.64,3.22,55.72,TIRODI_GNEISS,2023-05-03,Syncline_Axis_West,0,synthetic
DH-0019,21.866238,80.17308,424.9,176.3,119.8,121.5,1.7,4.65,2.05,68.02,QUARTZITE,2024-04-19,Syncline_Axis_West,0,synthetic
DH-0020,21.869836,80.167711,397.5,166.1,67.4,74.7,7.3,1.9,2.12,68.5,TIRODI_GNEISS,2025-07-27,Syncline_Axis_West,0,synthetic
DH-0021,21.869959,80.170895,402.3,176.6,98.0,106.3,8.3,26.57,5.32,15.34,MANSAR_SCHIST,2025-03-18,Syncline_Axis_West,1,synthetic
DH-0022,21.859858,80.178294,388.2,55.1,23.1,36.7,13.6,31.28,9.04,18.62,MANSAR_SCHIST,2024-04-29,Syncline_Axis_West,1,synthetic
DH-0023,21.868221,80.176172,361.6,84.4,69.3,73.1,3.8,1.63,2.61,63.01,CALC_GRANULITE,2024-10-30,Syncline_Axis_West,0,synthetic
DH-0024,21.866006,80.171632,358.0,87.9,24.7,38.1,13.4,23.38,8.12,26.6,GONDITE,2023-10-06,Syncline_Axis_West,1,synthetic
DH-0025,21.866267,80.171863,421.7,150.3,19.7,21.4,1.7,1.57,4.62,47.29,TIRODI_GNEISS,2025-07-09,Syncline_Axis_West,0,synthetic
DH-0026,21.861049,80.173008,424.2,107.9,20.0,26.6,6.6,25.45,5.99,25.06,GONDITE,2024-03-01,Syncline_Axis_West,1,synthetic
DH-0027,21.866054,80.171059,362.8,106.0,29.1,30.9,1.8,3.44,5.39,47.22,CALC_GRANULITE,2023-11-19,Syncline_Axis_West,0,synthetic
DH-0028,21.865231,80.172546,363.5,154.0,116.6,127.1,10.5,23.79,5.92,16.44,GONDITE,2023-03-24,Syncline_Axis_West,1,synthetic
DH-0029,21.85592,80.179937,364.8,74.0,13.8,19.8,6.0,1.85,5.67,48.39,CALC_GRANULITE,2024-12-29,Syncline_Axis_West,0,synthetic
DH-0030,21.859251,80.184387,383.4,98.5,61.5,64.3,2.8,1.7,6.24,55.77,QUARTZITE,2023-12-23,Syncline_Axis_West,0,synthetic
DH-0031,21.864886,80.175001,394.5,49.2,30.7,39.6,8.9,18.83,10.54,25.64,GONDITE,2024-05-26,Syncline_Axis_West,1,synthetic
DH-0032,21.860211,80.183503,414.2,57.8,39.4,41.4,2.0,3.34,5.0,59.2,QUARTZITE,2023-01-25,Syncline_Axis_West,0,synthetic
DH-0033,21.863612,80.168996,378.5,53.3,10.0,16.8,6.8,4.6,6.99,58.48,QUARTZITE,2025-02-01,Syncline_Axis_West,0,synthetic
DH-0034,21.86519,80.168394,371.5,137.6,75.6,81.1,5.5,22.8,4.16,20.62,MANSAR_SCHIST,2023-06-03,Syncline_Axis_West,1,synthetic
DH-0035,21.858348,80.172799,409.9,47.9,14.5,24.4,9.9,36.65,8.11,12.55,MANSAR_SCHIST,2023-09-21,Syncline_Axis_West,1,synthetic
DH-0036,21.856467,80.172261,406.0,57.4,10.2,17.8,7.6,0.96,2.52,68.94,CALC_GRANULITE,2023-04-14,Syncline_Axis_West,0,synthetic
DH-0037,21.861345,80.172345,390.0,67.7,27.8,33.9,6.1,0.7,3.38,72.52,TIRODI_GNEISS,2025-10-13,Syncline_Axis_West,0,synthetic
