date,mine_block_id,planned_tonnes,actual_tonnes,equipment_availability_pct,rainfall_mm,blasting_delay_flag,maintenance_flag,synthetic
2023-01-01,BLOCK_A,348.3,309.1,88.2,0.0,0,0,True
2023-01-01,BLOCK_B,267.6,196.3,85.2,0.0,0,1,True
2023-01-01,BLOCK_C,230.3,179.8,79.2,0.0,0,0,True
2023-01-02,BLOCK_A,334.1,225.0,69.2,0.0,0,0,True
2023-01-02,BLOCK_B,274.2,195.2,77.4,0.0,0,0,True
2023-01-02,BLOCK_C,220.3,174.1,78.6,0.0,0,0,True
2023-01-03,BLOCK_A,348.8,232.9,78.2,11.9,0,0,True
2023-01-03,BLOCK_B,278.3,132.7,82.9,11.9,1,0,True
2023-01-03,BLOCK_C,214.7,148.4,72.9,11.9,0,0,True
2023-01-04,BLOCK_A,349.0,291.3,84.7,0.0,0,0,True
2023-01-04,BLOCK_B,271.5,226.8,82.1,0.0,0,0,True
2023-01-04,BLOCK_C,227.2,150.1,72.2,0.0,0,0,True
2023-01-05,BLOCK_A,319.1,301.0,87.7,0.0,0,0,True
2023-01-05,BLOCK_B,268.1,210.5,76.3,0.0,0,0,True
2023-01-05,BLOCK_C,216.3,175.4,81.6,0.0,0,0,True
2023-01-06,BLOCK_A,346.2,248.2,74.7,0.0,0,0,True
2023-01-06,BLOCK_B,281.7,247.2,82.7,0.0,0,0,True
2023-01-06,BLOCK_C,209.6,168.1,71.6,0.0,0,0,True
2023-01-07,BLOCK_A,330.3,263.0,76.7,0.0,0,0,True
2023-01-07,BLOCK_B,270.5,256.2,90.3,0.0,0,0,True
2023-01-07,BLOCK_C,228.6,208.5,94.0,0.0,0,0,True
2023-01-08,BLOCK_A,324.2,239.3,93.2,0.0,0,1,True
2023-01-08,BLOCK_B,280.3,196.5,71.7,0.0,0,0,True
2023-01-08,BLOCK_C,229.7,166.2,84.7,0.0,0,0,True
2023-01-09,BLOCK_A,348.7,259.4,82.9,0.0,0,0,True
2023-01-09,BLOCK_B,267.0,258.4,83.5,0.0,0,0,True
2023-01-09,BLOCK_C,229.0,168.3,78.4,0.0,0,0,True
2023-01-10,BLOCK_A,339.0,263.7,76.8,0.0,0,0,True
2023-01-10,BLOCK_B,283.7,267.5,87.7,0.0,0,0,True
2023-01-10,BLOCK_C,216.1,161.8,96.7,0.0,1,0,True
2023-01-11,BLOCK_A,338.1,281.8,87.3,0.0,0,0,True
2023-01-11,BLOCK_B,269.9,211.6,76.7,0.0,0,0,True
2023-01-11,BLOCK_C,214.7,206.2,91.4,0.0,0,0,True
2023-01-12,BLOCK_A,319.7,250.1,71.5,0.0,0,0,True
2023-01-12,BLOCK_B,291.1,241.5,85.0,0.0,0,0,True
2023-01-12,BLOCK_C,212.6,142.8,84.8,0.0,1,0,True
2023-01-13,BLOCK_A,316.8,269.1,84.4,0.0,0,0,True
2023-01-13,BLOCK_B,272.3,218.4,75.2,0.0,0,0,True
2023-01-13,BLOCK_C,223.3,199.5,86.4,0.0,0,0,True
2023-01-14,BLOCK_A,325.5,297.7,90.0,0.0,0,0,True
2023-01-14,BLOCK_B,280.1,253.7,80.9,0.0,0,0,True
2023-01-14,BLOCK_C,215.2,182.0,83.3,0.0,0,0,True
2023-01-15,BLOCK_A,347.1,280.7,82.0,0.0,0,0,True
2023-01-15,BLOCK_B,289.9,198.3,76.2,0.0,0,0,True
2023-01-15,BLOCK_C,212.7,196.0,88.7,0.0,0,0,True
2023-01-16,BLOCK_A,337.1,305.3,91.5,0.0,0,0,True
2023-01-16,BLOCK_B,285.7,192.2,72.0,0.0,0,0,True
2023-01-16,BLOCK_C,228.1,191.7,83.2,0.0,0,0,True
2023-01-17,BLOCK_A,340.0,284.6,84.9,0.0,0,0,True
2023-01-17,BLOCK_B,268.6,222.3,79.1,0.0,0,0,True
2023-01-17,BLOCK_C,215.3,127.0,79.7,0.0,1,0,True
2023-01-18,BLOCK_A,320.9,319.5,95.5,0.0,0,0,True
2023-01-18,BLOCK_B,268.4,226.9,83.4,0.0,0,0,True
2023-01-18,BLOCK_C,225.0,187.3,83.1,0.0,0,0,True
2023-01-19,BLOCK_A,331.3,272.7,76.8,0.0,0,0,True
2023-01-19,BLOCK_B,273.0,276.0,97.1,0.0,0,0,True
2023-01-19,BLOCK_C,230.0,205.8,86.0,0.0,0,0,True
2023-01-20,BLOCK_A,328.5,289.0,81.1,0.0,0,0,True
2023-01-20,BLOCK_B,279.3,214.3,81.0,0.0,0,0,True
2023-01-20,BLOCK_C,223.0,175.7,82.0,0.0,0,0,True
2023-01-21,BLOCK_A,338.6,271.8,81.4,0.0,0,0,True
2023-01-21,BLOCK_B,282.1,255.5,95.7,0.0,0,0,True
2023-01-21,BLOCK_C,229.7,189.2,86.5,0.0,0,0,True
2023-01-22,BLOCK_A,317.2,276.5,85.2,0.4,0,0,True
2023-01-22,BLOCK_B,289.7,213.8,78.0,0.4,0,0,True
2023-01-22,BLOCK_C,228.3,202.2,89.5,0.4,0,0,True
2023-01-23,BLOCK_A,343.5,277.3,82.8,0.0,0,0,True
2023-01-23,BLOCK_B,275.5,262.8,95.4,0.0,0,0,True
2023-01-23,BLOCK_C,228.9,205.8,93.4,0.0,0,0,True
2023-01-24,BLOCK_A,317.0,284.0,85.6,0.0,0,0,True
2023-01-24,BLOCK_B,283.7,187.8,68.7,0.0,0,0,True
2023-01-24,BLOCK_C,225.6,199.9,88.0,0.0,0,0,True
2023-01-25,BLOCK_A,331.4,266.2,80.5,3.2,0,0,True
2023-01-25,BLOCK_B,287.3,208.2,76.4,3.2,0,0,True
2023-01-25,BLOCK_C,210.6,193.8,87.5,3.2,0,0,True
2023-01-26,BLOCK_A,329.1,302.6,92.2,0.0,0,0,True
2023-01-26,BLOCK_B,287.1,214.2,77.3,0.0,0,0,True
2023-01-26,BLOCK_C,218.3,177.2,80.6,0.0,0,0,True
2023-01-27,BLOCK_A,320.6,318.2,93.2,0.0,0,0,True
2023-01-27,BLOCK_B,276.5,243.8,88.5,0.0,0,0,True
2023-01-27,BLOCK_C,209.3,193.7,83.6,0.0,0,0,True
2023-01-28,BLOCK_A,348.9,330.7,98.0,0.0,0,0,True
2023-01-28,BLOCK_B,283.6,183.2,90.0,0.0,1,0,True
2023-01-28,BLOCK_C,229.9,190.4,82.1,0.0,0,0,True
2023-01-29,BLOCK_A,332.1,286.1,91.3,0.0,0,0,True
2023-01-29,BLOCK_B,293.6,258.8,85.7,0.0,0,0,True
2023-01-29,BLOCK_C,224.1,210.4,88.9,0.0,0,0,True
2023-01-30,BLOCK_A,318.1,271.9,82.4,0.0,0,0,True
2023-01-30,BLOCK_B,270.2,207.6,69.3,0.0,0,0,True
2023-01-30,BLOCK_C,227.4,99.8,63.4,0.0,0,1,True
2023-01-31,BLOCK_A,343.7,320.2,95.1,0.0,0,0,True
2023-01-31,BLOCK_B,272.9,207.1,74.5,0.0,0,0,True
2023-01-31,BLOCK_C,214.0,216.7,91.5,0.0,0,0,True
2023-02-01,BLOCK_A,334.0,295.2,83.9,0.0,0,0,True
2023-02-01,BLOCK_B,281.7,186.6,81.0,0.0,0,1,True
2023-02-01,BLOCK_C,225.6,217.6,94.9,0.0,0,0,True
2023-02-02,BLOCK_A,336.3,219.6,73.5,1.7,0,0,True
2023-02-02,BLOCK_B,280.4,230.3,79.1,1.7,0,0,True
2023-02-02,BLOCK_C,229.9,148.9,69.4,1.7,0,0,True
2023-02-03,BLOCK_A,327.6,248.6,72.6,0.0,0,0,True
2023-02-03,BLOCK_B,269.6,212.6,74.2,0.0,0,0,True
2023-02-03,BLOCK_C,219.4,170.3,75.1,0.0,0,0,True
2023-02-04,BLOCK_A,325.9,263.4,82.1,0.0,0,0,True
2023-02-04,BLOCK_B,280.1,230.5,82.2,0.0,0,0,True
2023-02-04,BLOCK_C,210.8,178.4,82.1,0.0,0,0,True
2023-02-05,BLOCK_A,323.6,246.3,80.8,0.0,0,0,True
2023-02-05,BLOCK_B,279.0,241.6,89.8,0.0,0,0,True
2023-02-05,BLOCK_C,220.7,170.8,82.0,0.0,0,0,True
2023-02-06,BLOCK_A,329.2,248.6,77.8,0.0,0,0,True
2023-02-06,BLOCK_B,282.6,262.6,91.4,0.0,0,0,True
2023-02-06,BLOCK_C,220.8,214.8,95.2,0.0,0,0,True
2023-02-07,BLOCK_A,328.7,320.4,90.4,0.0,0,0,True
2023-02-07,BLOCK_B,283.0,221.9,80.1,0.0,0,0,True
2023-02-07,BLOCK_C,212.5,163.5,78.3,0.0,0,0,True
2023-02-08,BLOCK_A,334.1,283.3,85.2,0.0,0,0,True
2023-02-08,BLOCK_B,293.1,240.5,84.9,0.0,0,0,True
2023-02-08,BLOCK_C,223.7,191.9,83.8,0.0,0,0,True
2023-02-09,BLOCK_A,322.9,238.2,76.9,0.0,0,0,True
2023-02-09,BLOCK_B,269.2,206.2,70.8,0.0,0,0,True
2023-02-09,BLOCK_C,219.6,171.6,77.8,0.0,0,0,True
2023-02-10,BLOCK_A,327.4,210.6,78.2,18.4,0,0,True
2023-02-10,BLOCK_B,282.7,130.0,63.2,18.4,0,0,True
2023-02-10,BLOCK_C,227.3,145.5,84.4,18.4,0,0,True
2023-02-11,BLOCK_A,335.8,274.6,82.0,0.0,0,0,True
2023-02-11,BLOCK_B,270.6,237.0,86.2,0.0,0,0,True
2023-02-11,BLOCK_C,216.9,187.3,80.8,0.0,0,0,True
2023-02-12,BLOCK_A,332.1,296.2,91.4,0.0,0,0,True
2023-02-12,BLOCK_B,291.2,228.9,89.6,0.0,0,0,True
2023-02-12,BLOCK_C,211.6,191.2,84.3,0.0,0,0,True
2023-02-13,BLOCK_A,337.3,303.2,90.7,0.0,0,0,True
2023-02-13,BLOCK_B,274.7,172.2,89.6,0.0,1,0,True
2023-02-13,BLOCK_C,225.8,184.8,80.2,0.0,0,0,True
2023-02-14,BLOCK_A,320.9,306.5,93.3,0.0,0,0,True
2023-02-14,BLOCK_B,286.2,265.4,90.0,0.0,0,0,True
2023-02-14,BLOCK_C,214.5,158.8,74.5,0.0,0,0,True
2023-02-15,BLOCK_A,332.0,246.0,84.4,0.0,0,1,True
2023-02-15,BLOCK_B,290.4,242.1,83.9,0.0,0,0,True
2023-02-15,BLOCK_C,224.6,175.6,85.0,0.0,0,0,True
2023-02-16,BLOCK_A,347.8,282.0,82.3,0.0,0,0,True
2023-02-16,BLOCK_B,289.5,244.6,83.4,0.0,0,0,True
2023-02-16,BLOCK_C,210.2,139.2,91.6,0.0,1,0,True
2023-02-17,BLOCK_A,334.5,276.8,81.2,0.0,0,0,True
2023-02-17,BLOCK_B,278.7,211.6,80.9,0.0,0,0,True
2023-02-17,BLOCK_C,220.0,195.2,89.4,0.0,0,0,True
2023-02-18,BLOCK_A,317.1,254.7,74.9,0.0,0,0,True
2023-02-18,BLOCK_B,277.6,275.0,98.0,0.0,0,0,True
2023-02-18,BLOCK_C,213.6,182.1,82.1,0.0,0,0,True
2023-02-19,BLOCK_A,335.5,287.1,94.1,0.0,0,0,True
2023-02-19,BLOCK_B,281.7,221.0,80.3,0.0,0,0,True
2023-02-19,BLOCK_C,217.2,140.6,89.7,0.0,0,1,True
2023-02-20,BLOCK_A,340.5,274.6,82.3,0.0,0,0,True
2023-02-20,BLOCK_B,284.8,225.5,78.8,0.0,0,0,True
2023-02-20,BLOCK_C,211.2,187.5,89.5,0.0,0,0,True
2023-02-21,BLOCK_A,338.9,192.7,77.7,0.0,0,1,True
2023-02-21,BLOCK_B,268.4,227.2,85.6,0.0,0,0,True
2023-02-21,BLOCK_C,227.0,152.6,73.1,0.0,0,0,True
2023-02-22,BLOCK_A,337.4,288.2,93.0,0.0,0,0,True
2023-02-22,BLOCK_B,292.6,224.2,78.6,0.0,0,0,True
2023-02-22,BLOCK_C,228.7,140.7,80.3,0.0,1,0,True
2023-02-23,BLOCK_A,337.7,255.8,78.0,0.0,0,0,True
2023-02-23,BLOCK_B,280.7,150.8,78.7,0.0,1,0,True
2023-02-23,BLOCK_C,211.6,159.4,70.0,0.0,0,0,True
2023-02-24,BLOCK_A,323.5,335.6,96.0,0.0,0,0,True
2023-02-24,BLOCK_B,291.6,136.3,68.3,0.0,0,1,True
2023-02-24,BLOCK_C,212.7,178.5,80.2,0.0,0,0,True
2023-02-25,BLOCK_A,326.3,303.6,93.7,0.0,0,0,True
2023-02-25,BLOCK_B,279.3,245.3,86.9,0.0,0,0,True
2023-02-25,BLOCK_C,209.7,178.1,87.9,0.0,0,0,True
2023-02-26,BLOCK_A,327.8,269.7,80.2,0.0,0,0,True
2023-02-26,BLOCK_B,279.9,236.5,78.0,0.0,0,0,True
2023-02-26,BLOCK_C,226.6,172.7,74.3,0.0,0,0,True
2023-02-27,BLOCK_A,347.2,239.2,72.4,0.0,0,0,True
2023-02-27,BLOCK_B,286.5,255.7,87.5,0.0,0,0,True
2023-02-27,BLOCK_C,214.5,155.2,70.8,0.0,0,0,True
2023-02-28,BLOCK_A,347.5,254.5,85.2,4.9,0,0,True
2023-02-28,BLOCK_B,285.5,226.0,86.6,4.9,0,0,True
2023-02-28,BLOCK_C,219.4,172.6,83.2,4.9,0,0,True
2023-03-01,BLOCK_A,324.3,198.4,74.7,3.6,0,1,True
2023-03-01,BLOCK_B,274.8,255.2,94.6,3.6,0,0,True
2023-03-01,BLOCK_C,228.5,115.2,72.2,3.6,1,0,True
2023-03-02,BLOCK_A,334.3,250.7,78.9,8.3,0,0,True
2023-03-02,BLOCK_B,290.5,157.7,69.5,8.3,0,0,True
2023-03-02,BLOCK_C,211.4,133.9,72.2,8.3,0,0,True
2023-03-03,BLOCK_A,349.6,212.8,67.5,0.1,0,0,True
2023-03-03,BLOCK_B,292.6,252.1,90.9,0.1,0,0,True
2023-03-03,BLOCK_C,222.5,219.2,92.3,0.1,0,0,True
2023-03-04,BLOCK_A,324.0,285.2,87.4,0.0,0,0,True
2023-03-04,BLOCK_B,293.1,258.5,94.4,0.0,0,0,True
2023-03-04,BLOCK_C,226.9,163.2,77.4,0.0,0,0,True
2023-03-05,BLOCK_A,319.7,272.8,80.1,0.0,0,0,True
2023-03-05,BLOCK_B,292.8,242.1,85.3,0.0,0,0,True
2023-03-05,BLOCK_C,210.9,139.3,69.0,0.0,0,0,True
2023-03-06,BLOCK_A,319.3,284.6,88.6,0.0,0,0,True
2023-03-06,BLOCK_B,279.9,269.1,98.0,0.0,0,0,True
2023-03-06,BLOCK_C,223.9,158.4,69.9,0.0,0,0,True
2023-03-07,BLOCK_A,345.0,294.6,86.2,0.0,0,0,True
2023-03-07,BLOCK_B,285.0,269.8,94.1,0.0,0,0,True
2023-03-07,BLOCK_C,228.2,167.7,80.0,0.0,0,0,True
2023-03-08,BLOCK_A,344.4,270.7,81.2,0.0,0,0,True
2023-03-08,BLOCK_B,293.5,209.4,72.1,0.0,0,0,True
2023-03-08,BLOCK_C,226.2,183.3,85.1,0.0,0,0,True
2023-03-09,BLOCK_A,337.7,285.4,84.4,0.0,0,0,True
2023-03-09,BLOCK_B,285.8,228.4,84.1,0.0,0,0,True
2023-03-09,BLOCK_C,210.0,100.9,85.9,0.0,1,1,True
2023-03-10,BLOCK_A,332.9,307.0,88.9,0.0,0,0,True
2023-03-10,BLOCK_B,293.9,178.0,71.4,0.0,0,0,True
2023-03-10,BLOCK_C,224.3,215.5,92.0,0.0,0,0,True
2023-03-11,BLOCK_A,331.0,279.9,82.1,0.0,0,0,True
2023-03-11,BLOCK_B,273.7,233.8,82.6,0.0,0,0,True
2023-03-11,BLOCK_C,213.7,181.6,83.6,0.0,0,0,True
2023-03-12,BLOCK_A,348.9,281.5,85.2,0.0,0,0,True
2023-03-12,BLOCK_B,289.7,260.1,88.1,0.0,0,0,True
2023-03-12,BLOCK_C,229.3,209.5,93.0,0.0,0,0,True
2023-03-13,BLOCK_A,339.5,184.4,72.1,0.0,0,1,True
2023-03-13,BLOCK_B,282.3,244.7,89.7,0.0,0,0,True
2023-03-13,BLOCK_C,209.3,172.7,81.6,0.0,0,0,True
2023-03-14,BLOCK_A,339.8,211.1,86.0,0.0,1,0,True
2023-03-14,BLOCK_B,268.9,220.7,83.0,0.0,0,0,True
2023-03-14,BLOCK_C,221.3,167.6,76.0,0.0,0,0,True
2023-03-15,BLOCK_A,321.1,323.1,97.4,2.0,0,0,True
2023-03-15,BLOCK_B,270.7,224.8,85.2,2.0,0,0,True
2023-03-15,BLOCK_C,229.6,172.7,83.5,2.0,0,0,True
2023-03-16,BLOCK_A,343.4,299.3,91.4,0.0,0,0,True
2023-03-16,BLOCK_B,281.3,241.1,81.4,0.0,0,0,True
2023-03-16,BLOCK_C,225.1,166.3,77.8,0.0,0,0,True
2023-03-17,BLOCK_A,327.9,284.8,87.2,0.0,0,0,True
2023-03-17,BLOCK_B,281.6,219.0,75.5,0.0,0,0,True
2023-03-17,BLOCK_C,223.3,183.2,87.9,0.0,0,0,True
2023-03-18,BLOCK_A,332.1,293.8,86.2,0.0,0,0,True
2023-03-18,BLOCK_B,275.7,217.4,70.5,0.0,0,0,True
2023-03-18,BLOCK_C,228.2,188.4,81.6,0.0,0,0,True
2023-03-19,BLOCK_A,323.7,329.8,94.8,0.0,0,0,True
2023-03-19,BLOCK_B,286.0,236.7,85.6,0.0,0,0,True
2023-03-19,BLOCK_C,228.2,167.7,89.2,0.0,0,0,True
2023-03-20,BLOCK_A,329.7,253.7,72.6,0.0,0,0,True
2023-03-20,BLOCK_B,293.2,194.8,70.6,0.0,0,0,True
2023-03-20,BLOCK_C,220.4,195.2,91.0,0.0,0,0,True
2023-03-21,BLOCK_A,340.2,189.0,80.2,0.0,1,0,True
2023-03-21,BLOCK_B,284.6,258.7,92.7,0.0,0,0,True
2023-03-21,BLOCK_C,228.1,176.1,80.9,0.0,0,0,True
2023-03-22,BLOCK_A,347.9,295.4,88.9,0.0,0,0,True
2023-03-22,BLOCK_B,267.2,240.0,84.1,0.0,0,0,True
2023-03-22,BLOCK_C,220.3,166.8,98.0,0.0,0,1,True
2023-03-23,BLOCK_A,340.1,282.4,87.9,0.0,0,0,True
2023-03-23,BLOCK_B,284.8,254.8,91.6,0.0,0,0,True
2023-03-23,BLOCK_C,227.4,188.9,84.2,0.0,0,0,True
2023-03-24,BLOCK_A,335.7,318.0,91.8,0.0,0,0,True
2023-03-24,BLOCK_B,277.0,218.1,76.8,0.0,0,0,True
2023-03-24,BLOCK_C,210.1,184.8,82.5,0.0,0,0,True
2023-03-25,BLOCK_A,341.2,279.8,81.0,0.0,0,0,True
2023-03-25,BLOCK_B,288.6,254.9,88.8,0.0,0,0,True
2023-03-25,BLOCK_C,211.6,179.7,81.6,0.0,0,0,True
2023-03-26,BLOCK_A,339.8,228.7,75.1,0.0,0,0,True
2023-03-26,BLOCK_B,272.4,229.2,84.4,0.0,0,0,True
2023-03-26,BLOCK_C,219.2,196.6,90.9,0.0,0,0,True
2023-03-27,BLOCK_A,329.3,290.6,94.6,1.7,0,0,True
2023-03-27,BLOCK_B,287.4,196.4,87.8,1.7,0,1,True
2023-03-27,BLOCK_C,213.3,178.5,81.0,1.7,0,0,True
2023-03-28,BLOCK_A,328.4,266.2,82.7,0.0,0,0,True
2023-03-28,BLOCK_B,274.6,250.3,84.4,0.0,0,0,True
2023-03-28,BLOCK_C,224.8,156.1,78.2,0.0,0,0,True
2023-03-29,BLOCK_A,322.7,328.1,97.8,0.0,0,0,True
2023-03-29,BLOCK_B,273.2,237.5,82.8,0.0,0,0,True
2023-03-29,BLOCK_C,210.0,192.3,86.8,0.0,0,0,True
2023-03-30,BLOCK_A,324.2,277.0,87.0,0.0,0,0,True
2023-03-30,BLOCK_B,291.2,197.6,73.0,0.0,0,0,True
2023-03-30,BLOCK_C,227.1,206.3,97.6,0.0,0,0,True
2023-03-31,BLOCK_A,336.2,283.3,87.2,0.0,0,0,True
2023-03-31,BLOCK_B,268.7,231.9,83.4,0.0,0,0,True
2023-03-31,BLOCK_C,214.1,191.4,94.7,0.0,0,0,True
2023-04-01,BLOCK_A,339.8,219.2,71.5,0.0,0,0,True
2023-04-01,BLOCK_B,293.8,261.4,87.6,0.0,0,0,True
2023-04-01,BLOCK_C,210.9,120.2,74.2,0.0,0,1,True
2023-04-02,BLOCK_A,318.9,267.1,78.0,0.0,0,0,True
2023-04-02,BLOCK_B,284.2,191.5,67.1,0.0,0,0,True
2023-04-02,BLOCK_C,230.9,214.3,88.6,0.0,0,0,True
2023-04-03,BLOCK_A,348.6,270.3,87.3,3.3,0,0,True
2023-04-03,BLOCK_B,268.7,254.2,95.7,3.3,0,0,True
2023-04-03,BLOCK_C,226.5,153.7,74.3,3.3,0,0,True
2023-04-04,BLOCK_A,344.7,330.6,98.0,0.0,0,0,True
2023-04-04,BLOCK_B,269.6,249.5,87.0,0.0,0,0,True
2023-04-04,BLOCK_C,215.7,155.5,76.7,0.0,0,0,True
2023-04-05,BLOCK_A,326.8,225.7,74.2,0.0,0,0,True
2023-04-05,BLOCK_B,291.7,238.0,85.0,0.0,0,0,True
2023-04-05,BLOCK_C,229.5,183.1,83.7,0.0,0,0,True
2023-04-06,BLOCK_A,343.5,268.7,77.7,0.0,0,0,True
2023-04-06,BLOCK_B,270.9,222.3,74.7,0.0,0,0,True
2023-04-06,BLOCK_C,227.1,190.3,82.8,0.0,0,0,True
2023-04-07,BLOCK_A,333.4,190.6,74.5,0.0,0,1,True
2023-04-07,BLOCK_B,266.7,244.3,87.1,0.0,0,0,True
2023-04-07,BLOCK_C,220.1,164.6,75.5,0.0,0,0,True
2023-04-08,BLOCK_A,338.3,285.9,81.3,0.0,0,0,True
2023-04-08,BLOCK_B,267.6,215.7,78.5,0.0,0,0,True
2023-04-08,BLOCK_C,211.2,177.5,79.9,0.0,0,0,True
2023-04-09,BLOCK_A,337.1,287.1,90.6,0.0,0,0,True
2023-04-09,BLOCK_B,269.7,239.4,82.0,0.0,0,0,True
2023-04-09,BLOCK_C,218.1,157.5,87.3,0.0,0,1,True
2023-04-10,BLOCK_A,332.7,266.0,78.6,0.0,0,0,True
2023-04-10,BLOCK_B,266.3,209.8,75.0,0.0,0,0,True
2023-04-10,BLOCK_C,227.6,172.8,82.8,0.0,0,0,True
2023-04-11,BLOCK_A,332.5,223.9,72.0,0.0,0,0,True
2023-04-11,BLOCK_B,291.0,246.8,92.1,0.0,0,0,True
2023-04-11,BLOCK_C,227.5,209.5,98.0,0.0,0,0,True
2023-04-12,BLOCK_A,337.1,270.0,83.3,0.0,0,0,True
2023-04-12,BLOCK_B,280.3,228.2,81.2,0.0,0,0,True
2023-04-12,BLOCK_C,210.6,149.2,72.2,0.0,0,0,True
2023-04-13,BLOCK_A,322.8,247.6,92.5,0.0,0,1,True
2023-04-13,BLOCK_B,268.3,259.1,87.9,0.0,0,0,True
2023-04-13,BLOCK_C,211.7,211.5,93.6,0.0,0,0,True
2023-04-14,BLOCK_A,343.3,281.1,94.6,13.8,0,0,True
2023-04-14,BLOCK_B,284.4,178.6,80.1,13.8,0,0,True
2023-04-14,BLOCK_C,217.2,107.3,69.1,13.8,0,0,True
2023-04-15,BLOCK_A,320.7,280.6,84.7,0.0,0,0,True
2023-04-15,BLOCK_B,288.8,231.5,81.7,0.0,0,0,True
2023-04-15,BLOCK_C,227.5,205.6,90.1,0.0,0,0,True
2023-04-16,BLOCK_A,349.5,273.3,82.2,0.0,0,0,True
2023-04-16,BLOCK_B,272.0,260.4,92.9,0.0,0,0,True
2023-04-16,BLOCK_C,222.0,150.0,67.8,0.0,0,0,True
2023-04-17,BLOCK_A,337.8,207.6,78.0,0.0,0,1,True
2023-04-17,BLOCK_B,272.9,219.2,81.3,0.0,0,0,True
2023-04-17,BLOCK_C,221.2,209.7,88.8,0.0,0,0,True
2023-04-18,BLOCK_A,335.1,226.9,71.4,0.0,0,0,True
2023-04-18,BLOCK_B,290.5,267.1,96.8,0.0,0,0,True
2023-04-18,BLOCK_C,217.6,145.3,96.4,0.0,1,0,True
2023-04-19,BLOCK_A,343.1,273.1,84.4,0.0,0,0,True
2023-04-19,BLOCK_B,267.8,287.0,95.3,0.0,0,0,True
2023-04-19,BLOCK_C,223.9,179.9,78.0,0.0,0,0,True
2023-04-20,BLOCK_A,327.8,303.9,88.6,0.2,0,0,True
2023-04-20,BLOCK_B,278.3,213.2,79.5,0.2,0,0,True
2023-04-20,BLOCK_C,213.9,214.9,95.1,0.2,0,0,True
2023-04-21,BLOCK_A,330.7,315.0,92.8,0.0,0,0,True
2023-04-21,BLOCK_B,289.5,239.9,92.6,0.0,0,0,True
2023-04-21,BLOCK_C,217.0,167.4,84.1,0.0,0,0,True
2023-04-22,BLOCK_A,331.0,285.0,87.1,0.0,0,0,True
2023-04-22,BLOCK_B,269.7,233.2,84.6,0.0,0,0,True
2023-04-22,BLOCK_C,225.0,176.7,78.2,0.0,0,0,True
2023-04-23,BLOCK_A,338.5,271.9,82.2,0.0,0,0,True
2023-04-23,BLOCK_B,291.4,204.3,76.3,0.0,0,0,True
2023-04-23,BLOCK_C,226.1,123.7,82.8,0.0,1,0,True
2023-04-24,BLOCK_A,321.3,220.8,63.6,0.0,0,0,True
