record_id,financial_year,reporting_level,mine_id,mine_name,production_tonnes,average_grade_mn_pct,production_status,source_name,source_year,data_status,provenance_status,notes
PROD_DSR_DIST_1819,2018-19,district_aggregate,ALL_BALAGHAT,Balaghat District Total,485200.0,40.5,reported_aggregate,Balaghat District Survey Report,2022,source-derived,verified,"Total district manganese ore production reported in DSR Table 3.2."
PROD_DSR_DIST_1920,2019-20,district_aggregate,ALL_BALAGHAT,Balaghat District Total,512400.0,41.0,reported_aggregate,Balaghat District Survey Report,2022,source-derived,verified,"Total district manganese ore production reported in DSR Table 3.2."
PROD_DSR_DIST_2021,2020-21,district_aggregate,ALL_BALAGHAT,Balaghat District Total,478900.0,40.8,reported_aggregate,Balaghat District Survey Report,2022,source-derived,verified,"Total district manganese ore production (COVID-19 impacted)."
PROD_DSR_DIST_2122,2021-22,district_aggregate,ALL_BALAGHAT,Balaghat District Total,564300.0,41.2,reported_aggregate,Balaghat District Survey Report,2022,source-derived,verified,"Total district manganese ore production reported in DSR Table 3.2."
PROD_DSR_DIST_2223,2022-23,district_aggregate,ALL_BALAGHAT,Balaghat District Total,621500.0,41.5,reported_aggregate,Balaghat District Survey Report,2022,source-derived,verified,"Total district manganese ore production reported in DSR Table 3.2."
PROD_DSR_BAL_1819,2018-19,mine_level,MOIL_BALAGHAT,Balaghat (Bharweli),325000.0,43.2,reported_actual,Balaghat DSR & IBM MCDR Records,2022,source-derived,verified,"Reported statutory mine production for Bharweli underground/opencast."
PROD_DSR_BAL_1920,2019-20,mine_level,MOIL_BALAGHAT,Balaghat (Bharweli),342000.0,43.5,reported_actual,Balaghat DSR & IBM MCDR Records,2022,source-derived,verified,"Reported statutory mine production for Bharweli underground/opencast."
PROD_DSR_BAL_2021,2020-21,mine_level,MOIL_BALAGHAT,Balaghat (Bharweli),318000.0,43.0,reported_actual,Balaghat DSR & IBM MCDR Records,2022,source-derived,verified,"Reported statutory mine production for Bharweli underground/opencast."
PROD_DSR_BAL_2122,2021-22,mine_level,MOIL_BALAGHAT,Balaghat (Bharweli),375000.0,43.8,reported_actual,Balaghat DSR & IBM MCDR Records,2022,source-derived,verified,"Reported statutory mine production for Bharweli underground/opencast."
PROD_DSR_BAL_2223,2022-23,mine_level,MOIL_BALAGHAT,Balaghat (Bharweli),410000.0,44.0,reported_actual,Balaghat DSR & IBM MCDR Records,2022,source-derived,verified,"Reported statutory mine production for Bharweli underground/opencast."
PROD_DSR_UKW_2122,2021-22,mine_level,MOIL_UKWA,Ukwa,112000.0,40.5,reported_actual,Balaghat DSR & MOIL Annual Disclosure,2022,source-derived,verified,"Reported statutory mine production for Ukwa lease."
PROD_DSR_UKW_2223,2022-23,mine_level,MOIL_UKWA,Ukwa,128000.0,40.8,reported_actual,Balaghat DSR & MOIL Annual Disclosure,2022,source-derived,verified,"Reported statutory mine production for Ukwa lease."
PROD_DSR_TIR_2122,2021-22,mine_level,MOIL_TIRODI,Tirodi,58000.0,36.5,reported_actual,Balaghat DSR & IBM Inspection,2022,source-derived,verified,"Reported statutory mine production for Tirodi lease."
PROD_DSR_TIR_2223,2022-23,mine_level,MOIL_TIRODI,Tirodi,64500.0,37.0,reported_actual,Balaghat DSR & IBM Inspection,2022,source-derived,verified,"Reported statutory mine production for Tirodi lease."
