evidence_id,evidence_type,commodity,mine_or_occurrence_name,operator,district,state,latitude,longitude,coordinate_type,coordinate_precision,source_organization,source_title,source_url,source_date,source_page,source_table,source_record_id,evidence_description,spatial_reliability,label_eligibility,status,notes
EVID_MOIL_BALAGHAT_BHARWELI_01,mine_deposit_location,Manganese Ore,Balaghat (Bharweli) Underground Mine,MOIL Limited,Balaghat,Madhya Pradesh,21.8464,80.2281,surveyed_shaft_point,mine/site point (~10-50m),"Ministry of Environment, Forest & Climate Change (MoEFCC) & GSI",PARIVESH EC Compliance Filing for Bharweli Mine (Lease 180.44 Ha) & GSI Memoir Series,https://parivesh.nic.in,2023-05-18,Bharweli Shaft Section; Toposheet 64 C/1,Table 1.1: Project Location,EC-MP-MIN-18044,Audited Bharweli main haulage shaft portal and operating underground mine workings in Mansar Formation manganese reef.,high,strong_positive_candidate,verified_active,Located directly inside Balaghat 5km x 5km AOI. Primary spatial positive anchor.
EVID_GSI_BHARWELI_OUTCROP_02,direct_mineral_occurrence,Manganese Ore,Bharweli-Balaghat Manganese Reef Outcrop Strip,MOIL Limited / Historical State Lease,Balaghat,Madhya Pradesh,21.848,80.227,outcrop_strike_center,outcrop strike (~100m),Geological Survey of India (GSI),"The Geology and Manganese-Ore Deposits of the Balaghat-Ukwa Area (GSI Bulletin Series A No. 22, Part VII)",https://www.gsi.gov.in,1965-01-01,"Pages 42-58, Plate 3: Bharweli Manganese Horizon Map",Table IV: Orebody Dimensions and Braunite-Pyrolusite Associations,GSI-BULL-22-VII,"NNE-SSW trending steeply dipping manganese reef in quartz-muscovite schist (Mansar Formation, Sausar Group).",high,strong_positive_candidate,verified_historical,Located directly inside Balaghat 5km x 5km AOI (~250m NW of Bharweli shaft).
EVID_IBM_BHARWELI_EXPLORATION_03,exploration_evidence,Manganese Ore,Bharweli Mine Lease Core Drilling & Resource Program,MOIL Limited,Balaghat,Madhya Pradesh,21.8464,80.2281,unlocated_aggregate,non_spatial_aggregate,Indian Bureau of Mines (IBM),MCDR Review of Mining Plan & Annual Inspection for Balaghat Manganese Mine,https://ibm.gov.in,2023-03-31,Section 2: Exploration Status,Table 2.1: Drilling and Resource Summary,39MPR01026,"Reported 26 exploratory boreholes (4,850m core drilling) in Bharweli lease. Confirms exploration drilling, but individual collar coordinates are confidential/unreleased.",non_spatial,context_only,aggregate_disclosure_only,"Inside lease boundary, but lack of individual collar coordinates precludes direct pixel-level spatial labeling."
EVID_MOIL_UKWA_04,mine_deposit_location,Manganese Ore,Ukwa Manganese Mine,MOIL Limited,Balaghat,Madhya Pradesh,21.9667,80.4667,lease_centroid,lease boundary centroid (~500m),Survey of India & MOIL Limited,Survey of India Open Series Map Sheet 64 C/5 & MOIL Annual Report,https://onlinemaps.surveyofindia.gov.in,2023-07-28,Baihar Tehsil Lease Section,Mining Lease Directory,MOIL-UKWA-ML,Major stratiform manganese deposit in Ukwa-Gudma syncline.,medium,weak_positive_candidate,verified_active,Outside AOI (~28 km Northeast of Balaghat AOI). Regional positive evidence.
EVID_MOIL_TIRODI_05,mine_deposit_location,Manganese Ore,Tirodi Manganese Mine,MOIL Limited,Balaghat,Madhya Pradesh,21.6833,79.7,statutory_point,mine/site point (~10-50m),Indian Bureau of Mines (IBM),IBM MCDR Inspection Report (Mine Code 39MPR01026),https://ibm.gov.in,2023-01-12,Section 1: General Information,Table 1.1: Location Coordinates,39MPR01026-TIR,Large opencast-to-underground manganese deposit in Tirodi biotite gneiss complex.,high,weak_positive_candidate,verified_active,Outside AOI (~58 km Southwest of Balaghat AOI). Regional positive evidence.
EVID_MOIL_SITAPATORE_06,mine_deposit_location,Manganese Ore,Sitapatore-Sukli Manganese Mine,MOIL Limited,Balaghat,Madhya Pradesh,21.7,79.6667,lease_centroid,lease boundary centroid (~500m),MoEFCC Forest Clearance Portal,MoEFCC FC Proposal No. FP/MP/MIN/38555/2019,https://forestsclearance.nic.in,2019-11-20,Part-I Form A; Lease 43.353 Ha; Toposheet 55 O/10,Project Location Details,FP/MP/MIN/38555,Manganese ore bed in Mansar Formation schists.,high,weak_positive_candidate,verified_active,Outside AOI (~62 km Southwest of Balaghat AOI). Regional positive evidence.
EVID_GSI_RAMRAMA_07,direct_mineral_occurrence,Manganese Ore,Ramrama Manganese Deposit,Historical State Leases,Balaghat,Madhya Pradesh,21.85,79.9167,approximate_village_grid,approximate (~1-2km),Geological Survey of India (GSI),GSI District Resource Map of Balaghat District (2002),https://geodataindia.gov.in,2002-01-01,Mineral Occurrence Map Sheet 55 O,Mineral Occurrences Inventory,GSI-DRM-RAMRAMA,Manganese ore band in Sausar Group metasediments.,medium,weak_positive_candidate,verified_historical,Outside AOI (~32 km West of Balaghat AOI). Regional occurrence.
EVID_MOIL_CHIKLA_08,mine_deposit_location,Manganese Ore,Chikla Manganese Mine,MOIL Limited,Bhandara,Maharashtra,21.55,79.75,approximate_village_grid,approximate (~1-2km),Indian Bureau of Mines (IBM) & Survey of India,IBM Maharashtra Mineral Directory & Toposheet 55 O/10,https://ibm.gov.in,2023-01-01,Tumsar Taluka Mineral Inventory,Table 3: Operating Manganese Mines,IBM-MS-CHK,Underground mine working Chikla-Sitasaongi manganese bed.,medium,weak_positive_candidate,verified_active,Outside AOI (~59 km Southwest). Regional belt anchor.
EVID_MOIL_DONGRI_BUZURG_09,mine_deposit_location,Manganese Ore,Dongri Buzurg Manganese Mine,MOIL Limited,Bhandara,Maharashtra,21.55,79.6833,approximate_village_grid,approximate (~1-2km),MoEFCC PARIVESH & IBM,MoEFCC EC Compliance Filing & IBM Directory,https://parivesh.nic.in,2022-10-15,Dongri Buzurg Opencast Pit Section,Table 1: Lease Coordinates,EC-MS-DONGRI,Major opencast pit supplying high-grade peroxide manganese ore.,medium,weak_positive_candidate,verified_active,Outside AOI (~65 km Southwest). Regional belt anchor.
EVID_MOIL_KANDRI_10,mine_deposit_location,Manganese Ore,Kandri Manganese Mine,MOIL Limited,Nagpur,Maharashtra,21.4167,79.2667,approximate_village_grid,approximate (~1-2km),Indian Bureau of Mines (IBM),IBM Nagpur Regional Lease Directory,https://ibm.gov.in,2023-01-01,Ramtek Taluka Section,Operating Mines List,IBM-MS-KND,Historically massive horseshoe-shaped manganese deposit.,medium,weak_positive_candidate,verified_active,Outside AOI (~110 km Southwest). Regional belt anchor.
EVID_MOIL_MANSAR_11,mine_deposit_location,Manganese Ore,Mansar Manganese Mine,MOIL Limited,Nagpur,Maharashtra,21.4,79.2833,approximate_village_grid,approximate (~1-2km),MoEFCC PARIVESH & Survey of India,MoEFCC Public Hearing Summary & Toposheet 55 O/7,https://parivesh.nic.in,2022-04-10,Mansar Mine Section,Project Coordinates,EC-MS-MANSAR,Type locality of the Mansar Formation containing prominent braunite gondite ore.,medium,weak_positive_candidate,verified_active,Outside AOI (~110 km Southwest). Regional type locality.
EVID_MOIL_GUMGAON_12,mine_deposit_location,Manganese Ore,Gumgaon Manganese Mine,MOIL Limited,Nagpur,Maharashtra,21.4,78.9833,approximate_village_grid,approximate (~1-2km),Maharashtra Pollution Control Board (MPCB),MPCB Environmental Consent Order & Toposheet 55 K/15,https://mpcb.gov.in,2022-08-12,Saoner Taluka Industrial Register,Mining Consents,MPCB-CONSENT-GUM,Deep underground manganese mine in Western Sausar belt.,medium,weak_positive_candidate,verified_active,Outside AOI (~138 km Southwest). Regional belt anchor.
EVID_MOIL_BELDONGRI_13,mine_deposit_location,Manganese Ore,Beldongri Manganese Mine,MOIL Limited,Nagpur,Maharashtra,21.45,79.3,approximate_village_grid,approximate (~1-2km),Geological Survey of India (GSI),GSI Central Region Mineral Memoir & Toposheet 55 O/7,https://onlinemaps.surveyofindia.gov.in,2020-01-01,Nagpur District Manganese Inventory,Table 5.2,GSI-CR-BELDONGRI,Manganese deposit in Ramtek fold belt.,medium,weak_positive_candidate,verified_active,Outside AOI (~105 km Southwest). Regional belt anchor.
EVID_GSI_MIRAGPUR_14,direct_mineral_occurrence,Manganese Ore,Miragpur Manganese Occurrence,Historical Prospecting Trench (Inactive),Balaghat,Madhya Pradesh,21.8,79.8333,approximate_village_grid,approximate (~1-2km),Geological Survey of India (GSI),GSI Bulletin Series A No. 22,https://www.gsi.gov.in,1965-01-01,Page 74: Secondary Occurrences in Balaghat District,Prospecting Inventory,GSI-BULL-22-MIRAGPUR,Low-grade manganese oxide bands and float ore pits in alluvial terrain.,medium,weak_positive_candidate,verified_historical,Outside AOI (~41 km West-Southwest). Historic occurrence.
