mine_id,mine_name,company,state,district,mineral,data_source,verification_status,latitude,longitude,coordinate_interpretation,coordinate_precision,source_title,source_url,page_section,evidence_notes
MOIL_BALAGHAT,Balaghat,MOIL Limited,Madhya Pradesh,Balaghat,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_statutory_record,21.8464,80.2281,mine/site point,mine/site point,MoEFCC PARIVESH Environmental Clearance & GSI Bulletin Series A No. 22,https://parivesh.nic.in,Bharweli Lease Section; Toposheet 64 C/1,Explicit coordinate 21°50'47"N 80°13'41"E (21°50'N 80°14'E) cited in Bharweli shaft filings and GSI Memoir.
MOIL_UKWA,Ukwa,MOIL Limited,Madhya Pradesh,Balaghat,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_map_derived,21.9667,80.4667,map-derived approximate location,approximate mine location,Survey of India Toposheet 64 C/5 & GSI Sausar Group Manganese Belt Quadrangle,https://onlinemaps.surveyofindia.gov.in,Sheet 64 C/5; Baihar Tehsil,Map-derived grid intersection at 21°58'00"N 80°28'00"E corresponding to the Ukwa plateau opencast/underground mining lease.
MOIL_TIRODI,Tirodi,MOIL Limited,Madhya Pradesh,Balaghat,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_statutory_record,21.6833,79.7000,mine/site point,mine/site point,Indian Bureau of Mines (IBM) MCDR Inspection Report (Mine Code 39MPR01026),https://ibm.gov.in,Section 1: General Information; Katangi Tehsil,Explicitly recorded at 21°41'00"N 79°42'00"E in IBM regional inspection and waste dump management records for Tirodi mine.
MOIL_SITAPATORE,Sitapatore,MOIL Limited,Madhya Pradesh,Balaghat,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_statutory_record,21.7000,79.6667,lease boundary centroid,lease boundary centroid,MoEFCC Forest Clearance Portal (Proposal No. FP/MP/MIN/38555/2019),https://forestsclearance.nic.in,Part-I Form A; Lease 43.353 Ha; Toposheet 55 O/10,Explicit statutory text: Location of the project: Latitude 21° 42' 00" N and Longitude 79° 40' 00" E on Survey of India Toposheet No. 55 O/10.
MOIL_CHIKLA,Chikla,MOIL Limited,Maharashtra,Bhandara,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_map_derived,21.5500,79.7500,map-derived approximate location,approximate mine location,Survey of India Toposheet 55 O/10 & IBM Maharashtra Mineral Directory,https://onlinemaps.surveyofindia.gov.in,Sheet 55 O/10; Tumsar Taluka,Map-derived coordinates at 21°33'00"N 79°45'00"E located on the Chikla-Sitasaongi manganese horizon in Bhandara district.
MOIL_DONGRI_BUZURG,Dongri Buzurg,MOIL Limited,Maharashtra,Bhandara,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_map_derived,21.5500,79.6833,map-derived approximate location,approximate mine location,Survey of India Toposheet 55 O/10 & MoEFCC EC Compliance Filing,https://parivesh.nic.in,Sheet 55 O/10; Dongri Buzurg Pit,Map-derived coordinates at 21°33'00"N 79°41'00"E identifying the main opencast pit and electrolytic manganese dioxide (EMD) plant lease.
MOIL_BELDONGRI,Beldongri,MOIL Limited,Maharashtra,Nagpur,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_map_derived,21.4500,79.3000,map-derived approximate location,approximate mine location,Survey of India Toposheet 55 O/7 & GSI Central Region Mineral Memoir,https://onlinemaps.surveyofindia.gov.in,Sheet 55 O/7; Ramtek Taluka,Map-derived coordinates at 21°27'00"N 79°18'00"E representing the Beldongri manganese horizon centroid in Nagpur district.
MOIL_KANDRI,Kandri,MOIL Limited,Maharashtra,Nagpur,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_map_derived,21.4167,79.2667,map-derived approximate location,approximate mine location,Survey of India Toposheet 55 O/7 & IBM Nagpur Regional Lease Record,https://ibm.gov.in,Sheet 55 O/7; Kandri Pit,Map-derived coordinates at 21°25'00"N 79°16'00"E marking the historic Kandri opencast-to-underground deposit.
MOIL_MUNSAR,Munsar,MOIL Limited,Maharashtra,Nagpur,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_map_derived,21.4000,79.2833,map-derived approximate location,approximate mine location,Survey of India Toposheet 55 O/7 & MoEFCC Public Hearing Summary,https://parivesh.nic.in,Sheet 55 O/7; Munsar Mine Hill,Map-derived coordinates at 21°24'00"N 79°17'00"E marking the Munsar mine lease boundary area in Ramtek taluka.
MOIL_GUMGAON,Gumgaon,MOIL Limited,Maharashtra,Nagpur,Manganese Ore,MOIL Annual Report (Public Disclosure),verified_map_derived,21.4000,78.9833,map-derived approximate location,approximate mine location,Survey of India Toposheet 55 K/15 & Maharashtra Pollution Control Board (MPCB) EIA Notice,https://mpcb.gov.in,Sheet 55 K/15; Saoner Taluka,Map-derived coordinates at 21°24'00"N 78°59'00"E representing the Gumgaon underground shaft lease area in Saoner taluka.
