period,period_type,current_value_tonnes,verified_value_tonnes,unit,match_status,source_organization,source_document,source_page,source_table,source_url,data_status,notes
FY2015-16,annual,1032000.0,1032000.0,Metric Tonnes,verified,MOIL Limited,MOIL 54th Annual Report (2015-16),Directors Report,Production Summary Table,https://moil.nic.in/,reported,Reported as 10.32 Lakh Tonnes in audited statutory financials.
FY2016-17,annual,1005000.0,1005000.0,Metric Tonnes,verified,MOIL Limited,MOIL 55th Annual Report (2016-17),Directors Report,Production Summary Table,https://moil.nic.in/,reported,Reported as 10.05 Lakh Tonnes (1005 thousand tonnes).
FY2017-18,annual,1201000.0,1201000.0,Metric Tonnes,verified,MOIL Limited,MOIL 56th Annual Report (2017-18),Directors Report,Production Summary Table,https://moil.nic.in/,reported,Reported as 12.01 Lakh Tonnes in annual operational review.
FY2018-19,annual,1301000.0,1301000.0,Metric Tonnes,verified,MOIL Limited,MOIL 57th Annual Report (2018-19),Directors Report,Production Summary Table,https://moil.nic.in/,reported,Reported as 13.01 Lakh Tonnes (8.33% YoY growth).
FY2019-20,annual,1280000.0,1280000.0,Metric Tonnes,verified,MOIL Limited,MOIL 58th Annual Report (2019-20),Directors Report,Production Summary Table,https://moil.nic.in/,reported,Reported as 12.80 Lakh Tonnes.
FY2020-21,annual,1143000.0,1143000.0,Metric Tonnes,verified,MOIL Limited,MOIL 59th Annual Report (2020-21),Directors Report,Production Summary Table,https://moil.nic.in/,reported,Reported as 11.43 Lakh Tonnes (COVID-19 operational impact).
FY2021-22,annual,1231000.0,1231000.0,Metric Tonnes,verified,MOIL Limited,MOIL 60th Annual Report (2021-22),Directors Report,Section 2 Operational Review,https://moil.nic.in/,reported,Reported as 12.31 Lakh Tonnes (7.7% YoY growth).
FY2022-23,annual,1302000.0,1302000.0,Metric Tonnes,verified,MOIL Limited,MOIL 61st Annual Report (2022-23),Directors Report,Production and Sales Performance,https://moil.nic.in/,reported,Reported as 13.02 Lakh Tonnes in audited financials.
FY2023-24,annual,1756000.0,1756000.0,Metric Tonnes,verified,MOIL Limited,MOIL 62nd Annual Report (2023-24),Directors Report,Operations Review,https://moil.nic.in/,reported,Reported as 17.56 Lakh Tonnes (34.87% YoY increase).
FY2024-25,annual,1802000.0,1802000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release & MOIL FY25 Performance,Operational Review,Annual Press Bulletin,https://pib.gov.in/,reported,Reported as 18.02 Lakh Tonnes (18.028 LMT in audited annual accounts; rounds to 18.03 LMT in some filings).
FY2025-26,annual,1907000.0,1907000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release (Ministry of Steel April 2026),Operational Review,Annual Press Bulletin,https://pib.gov.in/,reported,Explicitly reported by Ministry of Steel as best-ever annual production of 19.07 LMT (5.8% YoY growth).
Q1_FY2024-25,quarterly,470000.0,470000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release Q1 FY25,Quarterly Review,Q1 Release,https://pib.gov.in/,reported,Reported as 4.70 Lakh Tonnes for April-June 2024 (8% YoY growth).
Q3_FY2024-25,quarterly,460000.0,460000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release Q3 FY25,Quarterly Review,Q3 Release,https://pib.gov.in/,reported,Reported as 4.60 Lakh Tonnes for October-December 2024.
Q3_FY2025-26,quarterly,477000.0,477000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release Q3 FY26,Quarterly Review,Q3 Release,https://pib.gov.in/,reported,Reported as 4.77 Lakh Tonnes for October-December 2025.
Q1_FY2026-27,quarterly,507605.0,507605.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release Q1 FY27,Quarterly Review,Q1 Release,https://pib.gov.in/,reported,Reported as 507605 MT (5.08 Lakh Tonnes) for April-June 2026.
2025-08,monthly,145000.0,145000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release August 2025,Monthly Performance,Aug Bulletin,https://pib.gov.in/,reported,Reported as 1.45 Lakh Tonnes for the month of August 2025.
2025-09,monthly,152000.0,152000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release September 2025,Monthly Performance,Sep Bulletin,https://pib.gov.in/,reported,Reported as 1.52 Lakh Tonnes for the month of September 2025.
2025-11,monthly,165000.0,165000.0,Metric Tonnes,verified,Ministry of Steel / PIB,PIB Press Release November 2025,Monthly Performance,Nov Bulletin,https://pib.gov.in/,reported,Reported as 1.65 Lakh Tonnes for the month of November 2025.
FY2020-21,annual,778000.0,778000.0,Metric Tonnes,verified,Indian Bureau of Mines (IBM),Indian Minerals Yearbook 2021,Manganese Ore Chapter,Table 4 State-wise Production,https://ibm.gov.in/,reported,Statutory state total for Madhya Pradesh.
FY2020-21,annual,642000.0,642000.0,Metric Tonnes,verified,Indian Bureau of Mines (IBM),Indian Minerals Yearbook 2021,Manganese Ore Chapter,Table 4 State-wise Production,https://ibm.gov.in/,reported,Statutory state total for Maharashtra.
FY2020-21,annual,2367000.0,2367000.0,Metric Tonnes,verified,Indian Bureau of Mines (IBM),Indian Minerals Yearbook 2021,Manganese Ore Chapter,Table 1 All-India Production,https://ibm.gov.in/,reported,Statutory national total across all operators.
FY2021-22,annual,849237.0,849237.0,Metric Tonnes,verified,Indian Bureau of Mines (IBM),Indian Minerals Yearbook 2022,Manganese Ore Chapter,Table 4 State-wise Production,https://ibm.gov.in/,reported,Statutory state total for Madhya Pradesh (31.50% national share).
FY2021-22,annual,727918.0,727918.0,Metric Tonnes,verified,Indian Bureau of Mines (IBM),Indian Minerals Yearbook 2022,Manganese Ore Chapter,Table 4 State-wise Production,https://ibm.gov.in/,reported,Statutory state total for Maharashtra (27.00% national share).
FY2021-22,annual,2695991.0,2695991.0,Metric Tonnes,verified,Indian Bureau of Mines (IBM),Indian Minerals Yearbook 2022,Manganese Ore Chapter,Table 1 All-India Production,https://ibm.gov.in/,reported,Statutory national total across all operators.
