event_id,equipment_id,equipment_model,mine_block_id,event_type,start_time,end_time,duration_hours,cause_code,description,synthetic
EVT-1001,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-01-08 15:30:07,2025-01-08 20:06:07,4.6,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1002,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-01-16 17:53:10,2025-01-17 10:35:10,16.7,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1003,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-01-21 16:30:46,2025-01-21 19:18:46,2.8,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1004,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-01-27 16:22:48,2025-01-27 21:58:48,5.6,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1005,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-02-03 05:59:43,2025-02-03 09:47:43,3.8,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1006,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-02-07 12:39:47,2025-02-07 17:21:47,4.7,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1007,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-02-11 18:02:36,2025-02-11 21:56:36,3.9,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1008,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-02-28 09:51:05,2025-02-28 11:21:05,1.5,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1009,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-03-08 09:39:09,2025-03-08 14:57:09,5.3,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1010,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-03-13 04:11:18,2025-03-13 07:23:18,3.2,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1011,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-03-29 13:48:28,2025-03-29 21:36:28,7.8,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1012,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-04-06 07:12:55,2025-04-06 16:48:55,9.6,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1013,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-04-14 14:27:31,2025-04-14 17:09:31,2.7,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1014,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-04-18 13:26:47,2025-04-18 15:26:47,2.0,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1015,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-04-26 02:58:39,2025-04-26 05:46:39,2.8,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1016,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-05-01 08:54:42,2025-05-01 11:24:42,2.5,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1017,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-05-07 03:22:57,2025-05-07 06:22:57,3.0,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1018,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-05-11 02:56:41,2025-05-11 07:02:41,4.1,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1019,EXC-01,Excavator 120T,BLOCK_A,repair,2025-05-16 16:48:00,2025-05-17 00:12:00,7.4,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1020,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-05-21 04:23:54,2025-05-21 14:53:54,10.5,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1021,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-05-27 18:42:34,2025-05-28 03:06:34,8.4,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1022,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-05-30 11:47:23,2025-05-31 02:23:23,14.6,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1023,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-06-06 02:40:36,2025-06-06 04:52:36,2.2,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1024,EXC-01,Excavator 120T,BLOCK_A,repair,2025-06-11 03:29:30,2025-06-11 07:47:30,4.3,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1025,EXC-01,Excavator 120T,BLOCK_A,repair,2025-06-21 07:03:32,2025-06-21 09:51:32,2.8,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1026,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-06-23 02:35:28,2025-06-23 10:41:28,8.1,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1027,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-06-27 11:59:18,2025-06-27 17:05:18,5.1,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1028,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-07-01 10:57:46,2025-07-01 13:51:46,2.9,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1029,EXC-01,Excavator 120T,BLOCK_A,repair,2025-07-05 09:39:26,2025-07-05 17:03:26,7.4,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1030,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-07-11 02:50:13,2025-07-11 10:50:13,8.0,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1031,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-07-18 23:33:55,2025-07-19 03:21:55,3.8,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1032,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-07-24 18:43:23,2025-07-25 01:13:23,6.5,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1033,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-07-28 02:31:28,2025-07-28 07:07:28,4.6,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1034,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-08-01 06:19:28,2025-08-01 10:01:28,3.7,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1035,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-08-07 04:24:45,2025-08-07 08:12:45,3.8,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1036,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-08-09 14:50:18,2025-08-09 17:56:18,3.1,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1037,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-08-12 03:23:29,2025-08-12 08:29:29,5.1,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1038,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-08-18 15:55:54,2025-08-18 20:13:54,4.3,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1039,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-08-24 01:44:05,2025-08-24 07:56:05,6.2,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1040,EXC-01,Excavator 120T,BLOCK_A,repair,2025-09-12 16:33:48,2025-09-12 17:45:48,1.2,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1041,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-09-18 05:06:36,2025-09-18 11:24:36,6.3,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1042,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-09-22 07:51:14,2025-09-22 08:51:14,1.0,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1043,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-09-26 21:11:26,2025-09-27 03:29:26,6.3,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1044,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-09-30 16:14:43,2025-09-30 20:56:43,4.7,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1045,EXC-01,Excavator 120T,BLOCK_A,repair,2025-10-03 06:29:54,2025-10-03 07:53:54,1.4,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
