grid_id,latitude,longitude,elevation_m,slope_deg,aspect_deg,ndvi,ndwi,iron_oxide_index,clay_index,ferrous_index,lst_k,acquisition_date,synthetic
GRID-0001,21.8515,80.1643,368.3,3.3,79.5,0.549,0.069,1.563,1.113,1.086,304.9,2026-03-15,True
GRID-0002,21.8515,80.165476,396.3,4.4,300.5,0.563,0.139,1.102,1.223,1.088,300.6,2026-03-15,True
GRID-0003,21.8515,80.166653,413.8,12.1,70.0,0.493,-0.114,1.387,1.094,1.369,303.8,2026-03-15,True
GRID-0004,21.8515,80.167829,410.2,20.2,65.3,0.47,-0.11,1.29,1.471,1.033,303.2,2026-03-15,True
GRID-0005,21.8515,80.169006,392.2,22.9,287.9,0.442,0.064,1.213,1.009,0.918,305.7,2026-03-15,True
GRID-0006,21.8515,80.170182,362.9,23.5,306.8,0.535,0.046,1.184,1.414,1.2,306.1,2026-03-15,True
GRID-0007,21.8515,80.171359,330.3,26.1,306.5,0.556,-0.101,1.094,1.188,1.074,305.7,2026-03-15,True
GRID-0008,21.8515,80.172535,313.0,27.9,335.7,0.562,0.124,1.439,1.267,1.104,304.0,2026-03-15,True
GRID-0009,21.8515,80.173712,306.2,25.6,358.0,0.492,0.066,1.193,0.748,1.119,301.5,2026-03-15,True
GRID-0010,21.8515,80.174888,316.4,21.1,166.1,0.373,-0.064,1.276,1.114,1.053,302.3,2026-03-15,True
GRID-0011,21.8515,80.176065,349.8,16.7,197.9,0.536,-0.067,1.144,1.359,1.01,306.3,2026-03-15,True
GRID-0012,21.8515,80.177241,377.0,11.0,104.6,0.565,-0.047,1.172,1.129,1.23,306.4,2026-03-15,True
GRID-0013,21.8515,80.178418,403.9,4.8,24.3,0.54,0.086,0.924,1.038,1.112,300.8,2026-03-15,True
GRID-0014,21.8515,80.179594,410.7,1.0,35.4,0.557,-0.145,0.932,1.006,1.105,301.4,2026-03-15,True
GRID-0015,21.8515,80.180771,399.8,1.0,261.2,0.463,-0.114,1.054,1.349,1.111,300.0,2026-03-15,True
GRID-0016,21.8515,80.181947,379.1,1.0,175.4,0.531,-0.096,1.06,0.95,1.107,306.9,2026-03-15,True
GRID-0017,21.8515,80.183124,348.2,1.0,119.1,0.479,-0.073,1.156,1.017,0.945,302.2,2026-03-15,True
GRID-0018,21.8515,80.1843,321.9,1.0,46.2,0.469,-0.102,1.142,1.04,1.02,302.6,2026-03-15,True
GRID-0019,21.8515,80.185476,307.2,6.8,236.0,0.406,-0.048,1.04,1.044,0.941,302.8,2026-03-15,True
GRID-0020,21.8515,80.186653,309.2,8.0,36.0,0.393,-0.011,1.056,1.16,1.358,303.1,2026-03-15,True
GRID-0021,21.8515,80.187829,330.0,15.2,223.0,0.404,-0.06,1.241,1.094,0.985,300.4,2026-03-15,True
GRID-0022,21.8515,80.189006,354.4,21.0,324.0,0.462,-0.029,1.22,1.234,1.27,302.4,2026-03-15,True
GRID-0023,21.8515,80.190182,383.2,21.1,114.4,0.577,-0.123,1.369,1.131,1.327,304.7,2026-03-15,True
GRID-0024,21.8515,80.191359,405.6,28.3,162.2,0.406,-0.134,1.103,0.942,0.931,301.9,2026-03-15,True
GRID-0025,21.8515,80.192535,414.3,30.6,221.9,0.515,-0.215,0.934,1.29,0.978,304.0,2026-03-15,True
GRID-0026,21.8515,80.193712,393.5,26.9,110.0,0.535,-0.011,1.251,1.129,0.94,302.6,2026-03-15,True
GRID-0027,21.8515,80.194888,376.1,23.6,210.3,0.537,-0.09,1.306,1.081,1.083,300.5,2026-03-15,True
GRID-0028,21.8515,80.196065,344.7,22.2,203.6,0.554,-0.069,1.26,1.148,1.044,302.1,2026-03-15,True
GRID-0029,21.8515,80.197241,322.4,13.9,131.2,0.355,-0.047,1.378,1.266,1.135,302.6,2026-03-15,True
GRID-0030,21.8515,80.198418,306.6,10.0,113.9,0.456,0.066,1.354,1.031,1.024,302.5,2026-03-15,True
GRID-0031,21.8515,80.199594,310.8,1.6,154.2,0.347,-0.104,1.273,0.986,1.15,300.3,2026-03-15,True
GRID-0032,21.8515,80.200771,337.5,1.9,1.7,0.503,-0.219,1.268,0.937,0.938,302.5,2026-03-15,True
GRID-0033,21.8515,80.201947,370.5,1.0,88.6,0.694,0.117,0.902,1.009,0.955,304.5,2026-03-15,True
GRID-0034,21.8515,80.203124,392.6,1.0,79.7,0.465,0.064,0.973,1.261,1.189,302.1,2026-03-15,True
GRID-0035,21.8515,80.2043,406.3,1.0,266.3,0.408,-0.064,1.183,1.19,1.323,306.1,2026-03-15,True
GRID-0036,21.852676,80.1643,363.4,6.1,157.0,0.504,-0.042,1.009,1.021,0.939,303.6,2026-03-15,True
GRID-0037,21.852676,80.165476,363.9,12.6,302.4,0.338,-0.002,0.789,1.122,1.226,301.8,2026-03-15,True
GRID-0038,21.852676,80.166653,371.8,18.2,48.4,0.515,-0.121,1.281,1.11,1.249,303.2,2026-03-15,True
GRID-0039,21.852676,80.167829,368.0,22.6,263.9,0.486,0.056,1.116,0.998,1.08,302.2,2026-03-15,True
GRID-0040,21.852676,80.169006,359.9,24.7,316.0,0.381,-0.086,0.875,1.162,0.799,306.1,2026-03-15,True
GRID-0041,21.852676,80.170182,357.4,26.9,166.6,0.589,0.036,1.316,1.323,1.167,300.6,2026-03-15,True
GRID-0042,21.852676,80.171359,356.2,28.3,129.1,0.557,-0.057,1.009,1.013,0.93,302.4,2026-03-15,True
GRID-0043,21.852676,80.172535,347.5,24.3,110.0,0.498,-0.094,1.086,1.137,0.879,300.5,2026-03-15,True
GRID-0044,21.852676,80.173712,346.4,18.4,198.6,0.511,-0.126,1.159,1.118,1.09,305.1,2026-03-15,True
GRID-0045,21.852676,80.174888,351.4,16.9,63.3,0.519,-0.051,1.167,1.156,1.018,304.6,2026-03-15,True
GRID-0046,21.852676,80.176065,355.1,7.2,218.4,0.489,-0.155,1.005,1.26,1.027,303.1,2026-03-15,True
GRID-0047,21.852676,80.177241,360.0,3.9,303.0,0.538,-0.209,1.12,1.167,1.133,303.0,2026-03-15,True
GRID-0048,21.852676,80.178418,367.1,1.0,309.1,0.488,-0.105,1.203,1.062,1.127,304.9,2026-03-15,True
GRID-0049,21.852676,80.179594,363.0,1.0,50.4,0.353,-0.192,0.847,0.963,1.129,307.8,2026-03-15,True
GRID-0050,21.852676,80.180771,364.3,1.0,193.9,0.614,-0.165,1.166,1.021,1.135,302.0,2026-03-15,True
GRID-0051,21.852676,80.181947,366.8,1.0,94.8,0.498,-0.028,1.42,1.177,1.321,303.6,2026-03-15,True
GRID-0052,21.852676,80.183124,358.3,1.6,319.1,0.523,0.0,1.247,1.218,1.192,301.0,2026-03-15,True
GRID-0053,21.852676,80.1843,352.0,5.4,27.5,0.482,-0.138,1.485,0.809,0.965,301.4,2026-03-15,True
GRID-0054,21.852676,80.185476,352.1,11.7,27.1,0.558,-0.018,0.794,1.074,1.119,306.5,2026-03-15,True
GRID-0055,21.852676,80.186653,350.9,16.4,6.7,0.57,-0.062,1.071,1.109,0.868,303.7,2026-03-15,True
GRID-0056,21.852676,80.187829,353.1,20.0,182.6,0.477,0.016,1.279,0.951,0.909,306.7,2026-03-15,True
GRID-0057,21.852676,80.189006,360.2,25.0,11.2,0.475,-0.066,0.877,1.402,1.141,300.8,2026-03-15,True
GRID-0058,21.852676,80.190182,362.3,29.7,209.5,0.36,-0.048,1.002,0.949,0.945,305.2,2026-03-15,True
GRID-0059,21.852676,80.191359,366.8,24.2,145.8,0.435,-0.076,1.258,1.092,1.2,302.7,2026-03-15,True
GRID-0060,21.852676,80.192535,369.9,25.5,212.4,0.552,0.035,1.089,0.822,0.965,302.1,2026-03-15,True
GRID-0061,21.852676,80.193712,371.2,23.7,326.3,0.443,-0.171,0.932,0.852,1.233,298.5,2026-03-15,True
GRID-0062,21.852676,80.194888,361.4,20.7,198.6,0.604,-0.189,1.06,0.942,0.968,301.7,2026-03-15,True
GRID-0063,21.852676,80.196065,360.6,15.9,195.6,0.426,-0.136,1.236,1.003,1.055,300.8,2026-03-15,True
GRID-0064,21.852676,80.197241,354.8,9.6,359.5,0.455,-0.098,1.263,1.123,1.116,301.4,2026-03-15,True
GRID-0065,21.852676,80.198418,346.1,2.5,170.0,0.584,-0.028,1.127,0.86,0.843,302.1,2026-03-15,True
GRID-0066,21.852676,80.199594,358.4,1.0,279.1,0.491,-0.237,1.395,1.083,1.168,303.2,2026-03-15,True
GRID-0067,21.852676,80.200771,356.6,1.0,131.7,0.363,0.019,1.589,1.147,1.151,305.2,2026-03-15,True
GRID-0068,21.852676,80.201947,361.9,1.0,80.4,0.537,-0.135,1.021,1.068,0.973,304.1,2026-03-15,True
GRID-0069,21.852676,80.203124,363.7,1.0,278.0,0.535,-0.077,1.323,0.994,1.148,305.3,2026-03-15,True
GRID-0070,21.852676,80.2043,369.5,2.7,264.0,0.416,-0.153,1.559,1.064,1.147,302.6,2026-03-15,True
GRID-0071,21.853853,80.1643,350.9,10.9,104.8,0.51,0.135,1.318,1.023,1.157,304.0,2026-03-15,True
GRID-0072,21.853853,80.165476,339.4,18.7,167.3,0.501,-0.029,1.262,1.275,1.15,304.1,2026-03-15,True
